Original_Entry,Refined_Formal_Name,Refined_Category,Status/Notes
Simone Buonaccorsi,Simone Buonaccorsi,Person,
Sir George Edward Leon,Sir George Edward Leon,Person,英国收藏家。
Sir George Wheler,Sir George Wheler,Person,英国旅行家/神职人员。
"Sir Robert Bernard, 1st Baronet","Sir Robert Bernard, 1st Baronet",Person,
"Sir Thomas Baines, F.R.S., F.R.C.P. 1622-1681",Sir Thomas Baines,Person,[Category Fix] 原文误标为 Man-Made Object。
"Sir Thomas Isham (1656每1681), 3rd Bt Isham","Sir Thomas Isham, 3rd Baronet",Person,"[OCR Fix] ""每"" -> ""–""。[Category Fix] 原文误标为 Man-Made Object。"
Sirolo,Sirolo,Place,马尔凯大区城镇。
Sisera,Sisera,Person,圣经人物（西西拉）。
Sistine Chapel,Sistine Chapel,Place,西斯廷礼拜堂。
Sixtus V,Sixtus V,Person,教皇西克斯图斯五世。
"Skala, Giovanni Dubravio",Jan Dubravius,Person,(Giovanni Dubravio Skala) 历史学家/主教。
"Skippe, John",John Skippe,Person,英国业余艺术家/鉴赏家。
"Skippon, Philip",Philip Skippon,Person,英国旅行作家。
Social position of the artist,Social position of the artist,Concept,[Category Fix] 社会史概念。
Society of Antiquaries of London,Society of Antiquaries of London,Organization,[Category Fix] 伦敦古物家协会。
Society of Arcadia,Accademia dell'Arcadia,Organization,[Category Fix] 阿卡迪亚学院。
Society of Jesus,Society of Jesus,Organization,[Category Fix] 耶稣会。
Socrates,Socrates,Person,[Category Fix] 原文误标为 Man-Made Object。苏格拉底。
Soderini family,Soderini family,Group,佛罗伦萨家族。
"Soldani, Massimiliano",Massimiliano Soldani Benzi,Person,佛罗伦萨雕塑家/章牌师。
"Sole, Giovan Gioseffo dal",Giovanni Gioseffo dal Sole,Person,博洛尼亚画家。
Solomon,Solomon,Person,所罗门王。
Solomon adoring the Idols,Solomon Adoring the Idols,Work,[Category Fix] 常见的圣经画作主题。
Solomon and Bathsheba,Solomon and Bathsheba,Work,[Category Fix]
Solomon in the Temple,Solomon in the Temple,Work,[Category Fix]
Solomon's Temple,Solomon's Temple,Place,所罗门圣殿。
Somerset House,Somerset House,Place,伦敦萨默塞特府。
Sophia Dorothea,Sophia Dorothea of Hanover,Person,汉诺威选帝侯夫人/普鲁士王后。
Sophie Friederike Auguste von Anhalt-Zerbst,Catherine the Great,Person,叶卡捷琳娜大帝的原名。
Sophronia and Olindo,Sophronia and Olindo,Work,[Category Fix] 《耶路撒冷的解放》中的主题。
Soprintendenza alle Gallerie,Soprintendenza alle Gallerie,Organization,[Category Fix] 意大利文物监管机构。
Sotheby's,Sotheby's,Organization,[Category Fix] 苏富比。
South Shetland Islands,South Shetland Islands,Place,南设得兰群岛。
"Spada, Cardinal Bernardino",Bernardino Spada,Person,红衣主教（Spada 宫主人）。
"Spadaro, Micco",Micco Spadaro,Person,(Domenico Gargiulo) 那不勒斯画家。
"Spanish Succession, War of",War of the Spanish Succession,Event,西班牙王位继承战争。
Spanish patronage,Spanish patronage,Concept,[Category Fix]
"Spectator, The",The Spectator,Work,[Category Fix] 原文误标为 Person。18世纪英国期刊。
St Andrew Avellino,Saint Andrew Avellino,Person,圣安德烈·阿韦利诺。
St Augustine's Abbey,St Augustine's Abbey,Place,坎特伯雷或其他地方的修道院。
St Benedict,Saint Benedict,Person,[Category Fix] 原文误标为 Place。圣本笃。
St Francis in Assisi,Saint Francis of Assisi,Person,[Category Fix] 原文误标为 Place。圣方济各。
St Giustina,Saint Justina of Padua,Person,帕多瓦的圣朱斯蒂娜。
St Lawrence,Saint Lawrence,Person,[Category Fix] 原文误标为 Place。圣劳伦斯。
"St Petersburg, Venetian artists in",Venetian artists in St Petersburg,Group,[Category Fix] 艺术群体。
St Stanislas Kostka,Saint Stanislaus Kostka,Person,[Category Fix] 原文误标为 Man-Made Object。
St Stanislas Kostka on his deathbed,St Stanislaus Kostka on his Deathbed,Work,[Category Fix] Le Gros 的著名雕塑。
St Teresa wounded by Christ,Ecstasy of Saint Teresa,Work,[Category Fix] 圣特蕾莎的狂喜（或相关主题）。
St. Agnes,Saint Agnes,Person,圣阿格尼丝。
St. Alexis,Saint Alexis,Person,圣亚历克西斯。
St. Andrew's Temple Church,Sant'Andrea al Quirinale,Place,[Context] 可能是指 Quirinale 的 Jesuit Novitiate church。
St. Dominic Church,San Domenico,Place,圣多明我教堂（泛指）。
St. Dominic instituting the Rosary,The Institution of the Rosary,Work,[Category Fix] 提埃坡罗等人的画作。
St. Domitilla,Saint Domitilla,Person,[Category Fix] 原文误标为 Man-Made Object。
St. Eustace hunting,The Vision of Saint Eustace,Work,[Category Fix] 圣尤斯塔斯狩猎幻象。
St. Helen finding the True Cross,The Finding of the True Cross,Work,[Category Fix] 圣海伦纳发现真十字架。
St. John and St. Charles Borromeo,Saints John and Charles Borromeo,Work,[Category Fix] 画作主题。
St. John the Baptist,Saint John the Baptist,Person,[Category Fix] 原文误标为 Man-Made Object。施洗约翰。
St. Luigi Gonzaga,Saint Aloysius Gonzaga,Person,[Category Fix] 原文误标为 Man-Made Object。
St. Mark,Saint Mark,Person,[Category Fix] 原文误标为 Man-Made Object。圣马可。
St. Mark's Basilica,St. Mark's Basilica,Place,威尼斯圣马可大教堂。
St. Paul's Cathedral,St. Paul's Cathedral,Place,伦敦圣保罗大教堂。
St. Peter receiving the Keys,Christ Giving the Keys to St. Peter,Work,[Category Fix] 交付钥匙（佩鲁吉诺等）。
St. Peter's Basilica,St. Peter's Basilica,Place,梵蒂冈圣彼得大教堂。
St. Peter's Square,St. Peter's Square,Place,圣彼得广场。
St. Philip Neri and the Virgin,St. Philip Neri and the Virgin,Work,[Category Fix] 圣菲利波·内里相关画作。
St. Romualdo,Saint Romuald,Person,[Category Fix] 原文误标为 Man-Made Object。
St. Simon Stock,Saint Simon Stock,Person,圣西蒙·斯托克（加尔默罗会）。
St. William of Aquitaine,Saint William of Aquitaine,Person,[Category Fix] 原文误标为 Man-Made Object。
St.Lawrenc,Saint Lawrence,Person,"[OCR Fix] ""St.Lawrenc"" -> ""St. Lawrence""。"
Staatliche Kunstsammlungen Dresden,Staatliche Kunstsammlungen Dresden,Organization,[Category Fix] 德累斯顿国家艺术收藏馆。
"Stael, Cornelius de",Cornelius de Stael,Person,
Stamperia Albrizziana,Stamperia Albrizzi,Organization,[Category Fix] 威尼斯印刷厂。
Standard Bearer,The Standard Bearer,Work,[Category Fix] 伦勃朗或 Piazzetta 的画作。
Stanis?aw August Poniatowski,Stanisław August Poniatowski,Person,"[OCR Fix] ""?"" -> ""ł""。波兰国王。"
Stanislao Fraschetti,Stanislao Fraschetti,Person,艺术史学家（贝尼尼传记作者）。
"Stanislas Poniatowski, King of Poland",Stanisław August Poniatowski,Person,[Duplicate] 同上。
Stanislaus Kostka,Saint Stanislaus Kostka,Person,圣斯坦尼斯劳斯·科斯特卡。
State Papers,State Papers,Work,[Category Fix] 英国国家档案（Calendar of State Papers）。
State Squidition,State Inquisition,Organization,"[OCR Fix] ""Squidition"" -> ""Inquisition""。威尼斯国家宗教裁判所/特务机构。"
Statue of Antenor,Tomb of Antenor,Work,[Category Fix] 帕多瓦的 Antenor 墓/像。
Statue of Field Marshal Schulenburg,Statue of Field Marshal Schulenburg,Work,[Category Fix] 科拉迪尼的作品（科孚岛）。
Statue of Hercules restored...,Statue of Hercules killing the Hydra,Work,[Category Fix] 古代雕塑修复（Algardi 等）。
Statue of Pope Urban VIII,Statue of Pope Urban VIII,Work,[Category Fix] 贝尼尼作品。
"Statue of Schulenburg, Kerkyra",Statue of Field Marshal Schulenburg,Work,[Duplicate] 同 3582。
Statues for the Lateran Basilica,Statues of the Apostles (Lateran),Work,[Category Fix] 拉特朗大殿的使徒像系列（Rusconi 等）。
"Stazio, Andrea",Andrea Stazio,Person,威尼斯灰泥艺术家（Stuccatore）。
Stefano Conti,Stefano Conti,Person,卢卡著名的艺术赞助人（Canaletto 的客户）。
Stefano Landi,Stefano Landi,Person,早期巴洛克作曲家。
Stefano Lorenzini,Stefano Lorenzini,Person,医生/解剖学家。
Stefano Sadani,Stefano Sadani,Person,
Stefano della Bella,Stefano della Bella,Person,佛罗伦萨版画家。
Stella Rudolph,Stella Rudolph,Person,现代艺术史学家（Maratti 专家）。
Stendhal,Stendhal,Person,司汤达。
Stockholm Palace,Stockholm Palace,Place,斯德哥尔摩皇宫。
Stoicism in 17th century,Stoicism in 17th century,Concept,[Category Fix] 哲学思潮。
"Storer, Cristoforo",Johann Christoph Storer,Person,(Cristoforo Storer) 康斯坦茨出生的画家，活跃于米兰。
Strada Nuova,Strada Nuova,Place,热那亚（Via Garibaldi）或威尼斯街道。
Stralsund,Stralsund,Place,德国施特拉尔松德。
