Refined_Formal_Name,Refined_Category,Status/Notes
A Dance to the Music of Time (Poussin),Work,[Validation] 普桑画作。
A Donor Presented to the Virgin,Work,[Validation] 画作主题/标题。
A Scene from the Aeneid,Work,[Category Fix] 埃涅阿斯纪的故事场景（fable/story）。
A Seaport,Work,[Validation] 画作标题（可能是克劳德·洛兰）。
A storm at sea,Work,[Validation] 画作标题。
A. E. Popham,Person,[Validation] 大英博物馆策展人。
A. N. L. Munby,Person,[Validation] 图书馆学家。
A. S. Turberville,Person,[Validation] 历史学家。
A.M. Zanetti the Elder with Marchese Gerini,Work,[Category Fix] 这是一个讽刺画作品标题 (Caricature)，非单纯人名列表。
Abate Scarselli,Person,可能是 Flaminio Scarselli (文学家)。
Abbey of Monte Cassino,Place,[Validation] 地点（修道院）。
Abbey of Santa Giustina,Place,[Validation] 地点（帕多瓦修道院）。
Abbé Clément,Person,[Validation] 18世纪法国作家 (Denis Xavier Clément 或 chanoine de Saint-Louis du Louvre)。
Abbé Richard,Person,"[OCR Fix] ""Abb谷"" -> ""Abbé""。Jérôme Richard，法国旅行作家 (Description de l'Italie)。"
Abel Desjardins,Person,[Validation] 雕塑家/灰泥艺术家。
"Abel-François Poisson, marquis de Marigny",Person,"[OCR Fix] ""Vandi豕res"" -> ""Vandières""。Marigny侯爵。 | [OCR Fix] 修正 ""?"" 为 ""ç""。庞巴杜夫人的弟弟，艺术总监。 | 蓬帕杜夫人的弟弟，法国皇家建筑总监。"
Abigail,Person,[Validation] 圣经人物。
Abigail giving Presents to David,Work,[Validation] 画作主题。
Abraham Brueghel,Person,[Disambiguation] 佛兰芒静物画家。 | [Validation] 佛兰芒画家。
Abraham Hume,Person,[Reconstruction] 收藏家/鉴赏家。
Abraham Nicolas Amelot de la Houssaye,Person,[Reconstruction] 名字倒装复原。 | [Validation] 历史学家。
Abruzzo,Place,[Validation] 意大利大区。
Academy of Fine Arts of Parma,Organization,[Category Fix] 帕尔马美术学院。
Académie Française,Organization,"[OCR Fix] 修正 ""?"" 为 ""ç""。法兰西学术院。"
Accademia Albrizziana,Organization,"[OCR Fix] 修正 ""Accbremia"" 为 ""Accademia""。同 Row 23。 | [Validation] 威尼斯文学学会 (Albrizzi)。"
Accademia Carrara,Place/Organization,[Validation] 贝加莫的美术馆/学院。
Accademia degli Umoristi,Group,[Validation] 罗马文学学会。 | 罗马文学学院。
Accademia dei Cacadubbi,Organization,[Validation] 戏谑性学会 (Humorous Academy)。
Accademia dei Concordi (Rovigo),Organization,[Validation] 罗维戈的学会。
Accademia dei Lincei,Organization,[Category Fix] 原文误标为 Place。 | [Validation] 猞猁之眼国家科学院。
Accademia dell'Arcadia,Group,[Category Fix] 阿卡迪亚学院。 | [Disambiguation] 阿卡迪亚学院。
Accademia delle Arti del Disegno,Organization,[Disambiguation] 佛罗伦萨迪亚诺学院。
Accademia di Belle Arti di Brera,Organization,[Validation] 布雷拉美术学院。
Accademia di Belle Arti di Firenze,Organization,[Disambiguation] 佛罗伦萨美术学院。
Accademia di Belle Arti di Parma,Organization,[Disambiguation] 帕尔马美术学院。
Accademia di Belle Arti di Venezia,Organization,[Validation] 威尼斯美术学院。
Accademia di San Luca,Organization,[Validation] 罗马圣路卡学院。
Accademia di San Luca / Académie Royale,Organization,[Context] 可能是指罗马圣路卡学院或巴黎皇家绘画雕塑学院（通用名）。
Achille Bosisio,Person,[Validation] 威尼斯历史作家。
Achille Neri,Person,[Validation] 人物。
Adam von Bartsch,Person,[Full Name] 奥地利学者/版画家。
Adolfo Venturi,Person,[Validation] 艺术史学家。
Adolph S. Cavallo,Person,[Full Name] 纺织品策展人/学者。
Adonis,Person (Myth),[Category Fix] 误标为 Person (普通)，实为神话人物。
Adoration of the Magi,Work,[Validation] 绘画题材。
Adriaen van der Werff,Person,[Validation] 荷兰画家。 | 荷兰画家。
Adriatic Sea,Place,[Validation] 地名。
Adrien Maurice de Noailles,Person,"[OCR Fix] ""Mar谷chal"" -> ""Maréchal""。诺瓦耶公爵/元帅。"
Aedes Barberina ad Quirinalem,Work,[Validation] Girolamo Teti 的书名。
Aeneas,Person (Myth),[Validation] 神话人物。
Aeneid,Work,[Validation] 维吉尔史诗。
Agamemnon,Person (Myth),[Validation] 神话人物。
Agnolo Galli,Person,[Validation] 罗马官员/赞助人。
Agony in the Garden,Work,[Validation] 绘画主题。
Agostino Barelli,Person,[Validation] 巴洛克建筑师。
Agostino Chigi,Person,[Disambiguation] 基吉家族成员。 | [Reconstruction] 文艺复兴银行家。
Agostino Chigi (Prince of Farnese),Person,[Reconstruction] 亲王。
Agostino Ciampelli,Person,[Validation] 画家。
Agostino Mascardi,Person,[Validation] 历史学家/修辞学家。
Agostino Masucci,Person,[Validation] 画家。
Agostino Mitelli,Person,[Validation] 画家 (Quadraturista)。
Agostino Sagredo,Person,[Validation] 威尼斯参议员/收藏家。
Agostino Tassi,Person,[Validation] 画家。
Albergo del Moretto,Place,[Validation] 地点（旅馆）。
Albert Charles Sewter,Person,[Full Name] 20世纪艺术史学家。
Albert Ilg,Person,[Validation] 艺术史学家。
Alberto Cametti,Person,[Validation] 音乐学家。
Alberto Vecchi,Person,[Validation] 学者。
Albrecht Dürer,Person,[Validation] 丢勒。
Aldo De Rinaldis,Person,[Validation] 艺术史学家。
Aldo Ravà,Person,[Validation] 威尼斯研究学者。
Alessandro Albani,Person,[Validation] 亚历山德罗·阿尔多布兰迪尼枢机。
Alessandro Algardi,Person,[Validation] 雕塑家。
Alessandro Baudi di Vesme,Person,[Validation] 艺术史学家。
Alessandro Bettagno,Person,[Validation] 艺术史学家。
Alessandro Borgia,Person,[Validation] 亚历山德罗·波吉亚。
Alessandro Farnese (Cardinal),Person,[Reconstruction] 可能是指教皇保罗三世之前的身份，或其孙子 Alessandro Farnese il Giovane。需结合语境。通常指 il Giovane (著名赞助人)。 | [Validation] 法尔内塞枢机。
Alessandro Farnese (Duke of Parma),Person,[Validation] 帕尔马公爵。
Alessandro Galilei,Person,[Validation] 建筑师。
Alessandro Gherardini,Person,[Validation] 画家。
Alessandro Longhi,Person,[Validation] 威尼斯肖像画家。
Alessandro Luzio,Person,[Validation] 历史学家。
Alessandro Magnasco,Person,[Validation] 画家。
Alessandro Marabottini,Person,[Validation] 艺术史学家。
Alessandro Marchesini,Person,[Category Fix] 原文误标为 Man-Made Object。维罗纳画家。 | [Validation] 画家。
Alessandro Orsini,Person,[Validation] 亚历山德罗·奥尔西尼枢机。
Alessandro Peretti di Montalto,Person,[Validation] 枢机主教。 | 红衣主教蒙塔尔托。
Alessandro Saluzzi,Person,
Alessandro Scarlatti,Person,[Validation] 作曲家。
Alessandro Sforza,Person,[Validation] 斯福尔扎家族成员 (可能是枢机)。
Alessandro Turchi,Person,[Validation] 画家 (l'Orbetto)。
Alessandro Varotari,Person,别名 Padovanino。
Alessandro Varotari (Padovanino),Person,[Disambiguation] 帕多瓦尼诺。
Alessandro Vassalli,Person,"[OCR Fix] 疑似 ""Vassalli"" (17世纪出版商/刻工)。"
Alessandro Vittrice,Person,罗马贵族，卡拉瓦乔《入葬》的赞助人。
Alessandro Vittrici,Person,[Disambiguation] 罗马主教/副总管 (Vicegerent)。
Alessandro Zen,Person,[Validation] 威尼斯贵族。 | 威尼斯检察官。
Alessandro de' Medici (Duke of Florence),Person,[Disambiguation] 佛罗伦萨公爵。
"Alexander Hamilton, 10th Duke of Hamilton",Person,[Full Name] 著名收藏家。
Alexander III (Pope),Person,[Disambiguation] 教皇亚历山大三世（常见于威尼斯历史画）。
Alexander Sauli,Person,[Validation] 圣徒 (St. Alexander Sauli)。
Alexander VII,Person,[Disambiguation] 教皇亚历山大七世。
Alexander VIII,Person,教皇亚历山大八世。
Alexander the Great,Person,[Validation] 历史人物。
Alfonso E. Pérez Sánchez,Person,[Full Name] 艺术史学家 (普拉多博物馆馆长)。
Alfonso Gesualdo,Person,[Disambiguation] 枢机主教。 | [Validation] 枢机主教。
Alfonso I d'Este,Person,[Validation] 费拉拉公爵。
Alfred Sensier,Person,[Validation] 艺术评论家/传记作家。
Alfredo Bardella,Person,[Validation] 人物。
Alice Binion,Person,[Validation] 艺术史学家 (威尼斯画派专家)。
Allan Hume,Person,[Validation] 人物 (可能是收藏家或 Grand Tour 旅行者)。
Allegory of Clemency,Work,[Validation] 寓意画主题。
Allegory of Coral fishing,Work,[Validation] 雅格布·祖奇 (Jacopo Zucchi) 画作。
Allegory of Divine Providence and Barberini Power,Work,[Disambiguation] Pietro da Cortona 壁画。 | [Validation] 皮耶特罗·达·科尔托纳壁画。
Allegory of Divine Wisdom,Work,[Validation] 安德烈亚·萨基壁画。
Allegory of Fortune,Work,[Validation] 寓意画主题。
Allegory of Rome,Work,[Validation] 寓意画主题。
Allegory of Venice,Work,[Validation] 寓意画主题。
Allegory of the Arts,Work,[Validation] 寓意画主题。
Allegory of the Education of the Crown Prince,Work,[Validation] 寓意画主题。
Almorò Albrizzi,Person,"[OCR Fix] 修正 ""Almor¨°"" 为 ""Almorò""。"
Almorò Pisani,Person,"[OCR Fix] ""辰"" -> ""ò""。威尼斯贵族。"
Aloys Thomas Raimund von Harrach,Person,[Disambiguation]那不勒斯总督/收藏家。
Aloysius Gonzaga,Person,[Validation] 圣路易吉·公撒格。
Alps,Place,[Validation] 地名。
Altar Paintings (San Canciano),Work,[Validation] 祭坛画组。
Altar of Friendship,Work,[Validation] 纪念碑/画作主题。
Altar of Tranquility and Rural Life,Work,[Validation] 纪念碑/画作主题。
Altar of Wealth and Apollo,Work,[Validation] 纪念碑/画作主题。
Altarpiece for Chiesa Nuova,Work,[Validation] 祭坛画（可能是鲁本斯）。
Altarpiece for Santa Maria dei Cappuccini,Work,[Validation] 祭坛画。
Altarpiece for St. Sebastian,Work,[Validation] 祭坛画。
Altarpiece for the Augustinian Church,Work,[Validation] 祭坛画。
Altarpieces for the Royal Chapel,Work,[Validation] 祭坛画组。
Alte Pinakothek,Place,[Validation] 慕尼黑老绘画陈列馆。
Altero Matteoli,Person,[Context] 现代意大利政治家/部长（可能出现在参考文献中）。
Altieri (Family),Person/Group,[Category Fix] 误标为 Place。指家族或 Palazzo。
Alvise Mocenigo,Person,[Validation] 威尼斯总督/贵族（需具体上下文区分几世）。 | 威尼斯总督（具体哪一世需上下文，通常指 Alvise IV 1763-1778）。
Alvise Pisani,Person,[Validation] 威尼斯总督/贵族。
Amadeo Svajer,Person,[OCR Fix/Standardization] 威尼斯收藏家 (Svajer)。
Amalfi,Place,[Validation] 地名。
Amalia Mezzetti,Person,[Validation] 艺术史学家。
Ambrogio Mazenta,Person,17世纪巴尔纳比特修士/建筑师。
Ambroise Dubois,Person,[Reconstruction] 枫丹白露画派画家。 | [Validation] 画家 (枫丹白露画派)。
Amico Ricci,Person,[Validation] 艺术史学家。
Amor Vincit Omnia,Work,[Validation] 卡拉瓦乔画作。
Amsterdam,Place,[Validation] 地名。
Anatole de Montaiglon,Person,[Validation] 艺术史学家。
Andrea Brustolon,Person,[Validation] 威尼斯雕塑家。
Andrea Camassei,Person,[Validation] 巴洛克画家。
Andrea Carlone,Person,[Validation] 热那亚画家。
Andrea Celesti,Person,[Validation] 威尼斯画家。
Andrea Doria,Person,[Validation] 热那亚海军上将。
Andrea Ferreri,Person,"[OCR Fix] ""Ferrerio"" -> ""Ferreri"" (巴洛克雕塑家)。 | [Validation] 巴洛克雕塑家。"
Andrea Gerini,Person,[Category Fix] 原文误标为 Man-Made Object。佛罗伦萨收藏家。 | [Validation] 佛罗伦萨贵族/收藏家。
Andrea Giacomo Podestà,Person,[Validation] 画家/版画家。
