Refined_Formal_Name,Original-QID,Second-Query_Label
Patriarchal Seminary of Venice,Q105988819,Patriarchal Seminary of Venice
Seminario Patriarcale di Venezia,Q105988819,Patriarchal Seminary of Venice
Homer,Q11710021,Homer
Homer (人物),Q11710021,
Zeuxis,Q11710021,
Ariadne being woken by Love,Q1206860,
Bacchus and Ariadne,Q1206860,Bacchus and Ariadne
Hercules,Q122248,Hercules
Hercules (人物),Q122248,
Zechariah,Q122248,Zechariah
Ganymede,Q131588,Ganymede
Theresa of Avila (人物),Q131588,
Pan,Q132582,Pan
Pan (人物),Q132582,
Theseus,Q132582,
Archbishop of Tarsus,Q155961,
Clement IX,Q155961,Clement IX
Heinrich Zimmermann,Q1599421,Heinrich Zimmermann
Xenophon,Q1599421,Xenophon
Herculaneum,Q178813,Herculaneum
Herculaneum (地点),Q178813,
Zacchaeus,Q178813,
William Pitt the Elder,Q208663,"William Pitt, 1st Earl of Chatham"
"William Pitt, 1st Earl of Chatham",Q208663,"William Pitt, 1st Earl of Chatham"
Bamboccianti,Q2344569,Bamboccianti
Dutch artists,Q2344569,
Landscape with Man fleeing from Serpent,Q23935130,Landscape
Landscape with Rural Dance,Q23935130,Landscape
Landscape with Woman washing her Feet,Q23935130,Landscape
Landscape with the Father of Psyche Sacrificing...,Q23935130,Landscape
The Rape of the Sabine Women,Q26509395,The Rape of the Sabine Women
The War between the Romans and the Sabines,Q26509395,
Apollo conducting Frederick Barbarossa's bride,Q26706747,
The Marriage of Frederick Barbarossa,Q26706747,The Marriage of Frederick Barbarossa
A Scene from the Aeneid,Q28093447,
The Royal Hunt of Dido and Aeneas,Q28093447,The Royal Hunt of Dido and Aeneas
Loménie de Brienne (Count),Q289522,Étienne Charles de Loménie de Brienne
Étienne Charles de Loménie de Brienne,Q289522,Étienne Charles de Loménie de Brienne
Roger Joseph Boscovich (Ruđer Bošković),Q310757,Roger Joseph Boscovich
Ruđer Josip Bošković,Q310757,Ruđer Josip Bošković
Francesco Scaramuccia,Q3266512,
Luigi Pellegrini Scaramuccia,Q3266512,Luigi Pellegrini Scaramuccia
Luigi Scaramuccia,Q3266512,Luigi Pellegrini Scaramuccia
Domenico Fontana,Q336806,Domenico Fontana
Windermere,Q336806,
Crete,Q34374,Crete
The Virgin Mary,Q34374,
Virgin Mary,Q34374,
W. G. Constable,Q3568879,
William Petty,Q3568879,William Petty
Giuseppe Sardi,Q3771406,Giuseppe Sardi
Worcester,Q3771406,
Il Pomarancio,Q382762,Niccolò Circignani
Niccolò Circignani,Q382762,Niccolò Circignani
Pietà,Q3904404,Pietà
The Sacrifice of Isaac,Q3904404,The Sacrifice of Isaac
"Dominique Vivant, Baron Denon",Q468618,Vivant Denon
Vivant Denon,Q468618,Vivant Denon
Pietà (Cosmè Tura),Q48808515,Pietà
Pietà (作品),Q48808515,
Henriette Adelaide of Savoy,Q57628,Princess Henriette Adelaide of Savoy
"Maximilian II Emanuel, Elector of Bavaria",Q57628,"Maximilian II Emanuel, Elector of Bavaria"
York,Q57628,
Carlo Lodoli,Q601642,Carlo Lodoli
P. Carlo de' Conti Lodoli Veneziano forse il Socrate Architetto,Q601642,
Portrait of Carlo Lodoli,Q601642,Carlo Lodoli
Alessandro Peretti di Montalto,Q82659,Alessandro Peretti di Montalto
Prince Peretti,Q82659,
Abbé Clément,Q84562933,Denis-Xavier Clément
Denis Xavier Clément,Q84562933,Denis-Xavier Clément
Cigoli (Ludovico Cardi),Q928350,Cigoli
Presenzini Cigoli,Q928350,
A.M. Zanetti the Elder with Marchese Gerini,Q944948,
Anton Maria Zanetti the Elder,Q944948,Antonio Maria Zanetti
Antonio Maria Zanetti (the Younger),Q944948,Antonio Maria Zanetti
