Refined_Formal_Name,Original-QID,Original-Refined_Category,Original-Status/Notes,Second-Query_QID,Second-Query_Label,Second-Query_Description,Second-Query_Logic
A Dance to the Music of Time (Poussin),,Work,[Validation] 普桑画作。,,,,No results found
A Donor Presented to the Virgin,Q123597533,Work,[Validation] 画作主题/标题。,Q123597533,A Donor Presented to the Virgin,painting by Il Guercino,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
A Scene from the Aeneid,,Work,[Category Fix] 埃涅阿斯纪的故事场景（fable/story）。,,,,No results found
A Seaport,Q52242065,Work,[Validation] 画作标题（可能是克劳德·洛兰）。,Q20536655,A Seaport,painting by Salvator Rosa,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
A storm at sea,Q102961376,Work,[Validation] 画作标题。,Q20020027,A Storm at Sea,painting by Claude-Joseph Vernet,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
A. E. Popham,,Person,[Validation] 大英博物馆策展人。,Q709195,Arthur E. Popham,British art historian (1889–1970),"Medium Confidence - Score: 78.6 (Sim: 0.79, Cat: Neutral)"
A. N. L. Munby,,Person,[Validation] 图书馆学家。,Q3607762,Alan Noel Latimer Munby,English writer (1913-1974),"Low Confidence - Score: 59.5 (Sim: 0.59, Cat: Neutral)"
A. S. Turberville,,Person,[Validation] 历史学家。,Q52305974,A. S. Turberville,British historian,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
A.M. Zanetti the Elder with Marchese Gerini,,Work,[Category Fix] 这是一个讽刺画作品标题 (Caricature)，非单纯人名列表。,,,,No results found
Abate Scarselli,,Person,可能是 Flaminio Scarselli (文学家)。,,,,No results found
Abbey of Monte Cassino,Q334051,Place,[Validation] 地点（修道院）。,Q334051,Abbey of Monte Cassino,abbey,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Abbey of Santa Giustina,Q219502,Place,[Validation] 地点（帕多瓦修道院）。,Q219502,Abbey of Santa Giustina,basilica in Padua,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Abbé Clément,,Person,[Validation] 18世纪法国作家 (Denis Xavier Clément 或 chanoine de Saint-Louis du Louvre)。,Q84562933,Denis-Xavier Clément,,"Low Confidence - Score: 56.2 (Sim: 0.56, Cat: Neutral)"
Abbé Richard,,Person,"[OCR Fix] ""Abb谷"" -> ""Abbé""。Jérôme Richard，法国旅行作家 (Description de l'Italie)。",Q306915,Abbé Richard,French theologian,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Abel Desjardins,Q2821500,Person,[Validation] 雕塑家/灰泥艺术家。,Q2821500,Abel Desjardins,French historian (1814-1886),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Abel-François Poisson, marquis de Marigny",,Person,"[OCR Fix] ""Vandi豕res"" -> ""Vandières""。Marigny侯爵。 | [OCR Fix] 修正 ""?"" 为 ""ç""。庞巴杜夫人的弟弟，艺术总监。 | 蓬帕杜夫人的弟弟，法国皇家建筑总监。",Q65022270,"Abel Francois Poisson, Marquis de Marigny",print in the National Gallery of Art (NGA 11324),"High Confidence - Score: 95.1 (Sim: 0.95, Cat: Neutral)"
Abigail,Q4416778,Person,[Validation] 圣经人物。,Q2769157,Abigail,female given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
