Refined_Formal_Name,Original-QID,Second-Query_QID,Original-Refined_Category,Original-Status/Notes,Second-Query_Label,Second-Query_Description,Second-Query_Logic
A Dance to the Music of Time (Poussin),,Q1392936,Work,[Validation] 普桑画作。,A Dance to the Music of Time,series of romans a clef by Anthony Powell,Advanced Match via 'A Dance to the Music of Time': Score 120.0 (Match)
A Donor Presented to the Virgin,Q123597533,Q123597533,Work,[Validation] 画作主题/标题。,A Donor Presented to the Virgin,painting by Il Guercino,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
A Scene from the Aeneid,,,Work,[Category Fix] 埃涅阿斯纪的故事场景（fable/story）。,,,No results found
A Seaport,Q52242065,Q20536655,Work,[Validation] 画作标题（可能是克劳德·洛兰）。,A Seaport,painting by Salvator Rosa,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
A storm at sea,Q102961376,Q20020027,Work,[Validation] 画作标题。,A Storm at Sea,painting by Claude-Joseph Vernet,"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
A. E. Popham,,Q709195,Person,[Validation] 大英博物馆策展人。,Arthur E. Popham,British art historian (1889–1970),"Medium Confidence - Score: 78.6 (Sim: 0.79, Cat: Neutral)"
A. N. L. Munby,,Q3607762,Person,[Validation] 图书馆学家。,Alan Noel Latimer Munby,English writer (1913-1974),"Low Confidence - Score: 59.5 (Sim: 0.59, Cat: Neutral)"
A. S. Turberville,,Q52305974,Person,[Validation] 历史学家。,A. S. Turberville,British historian,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
A.M. Zanetti the Elder with Marchese Gerini,,,Work,[Category Fix] 这是一个讽刺画作品标题 (Caricature)，非单纯人名列表。,,,No results found
Abate Scarselli,,,Person,可能是 Flaminio Scarselli (文学家)。,,,No results found
Abbey of Monte Cassino,Q334051,Q334051,Place,[Validation] 地点（修道院）。,Abbey of Monte Cassino,abbey,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Abbey of Santa Giustina,Q219502,Q219502,Place,[Validation] 地点（帕多瓦修道院）。,Abbey of Santa Giustina,basilica in Padua,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Abbé Clément,,Q84562933,Person,[Validation] 18世纪法国作家 (Denis Xavier Clément 或 chanoine de Saint-Louis du Louvre)。,Denis-Xavier Clément,,"Low Confidence - Score: 56.2 (Sim: 0.56, Cat: Neutral)"
Abbé Richard,,Q306915,Person,"[OCR Fix] ""Abb谷"" -> ""Abbé""。Jérôme Richard，法国旅行作家 (Description de l'Italie)。",Abbé Richard,French theologian,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Abel Desjardins,Q2821500,Q2821500,Person,[Validation] 雕塑家/灰泥艺术家。,Abel Desjardins,French historian (1814-1886),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
"Abel-François Poisson, marquis de Marigny",,Q65022270,Person,"[OCR Fix] ""Vandi豕res"" -> ""Vandières""。Marigny侯爵。 | [OCR Fix] 修正 ""?"" 为 ""ç""。庞巴杜夫人的弟弟，艺术总监。 | 蓬帕杜夫人的弟弟，法国皇家建筑总监。","Abel Francois Poisson, Marquis de Marigny",print in the National Gallery of Art (NGA 11324),"High Confidence - Score: 95.1 (Sim: 0.95, Cat: Neutral)"
Abigail,Q4416778,Q2769157,Person,[Validation] 圣经人物。,Abigail,female given name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Abigail giving Presents to David,,,Work,[Validation] 画作主题。,,,No results found
Abraham Brueghel,Q1824525,Q1824525,Person,[Disambiguation] 佛兰芒静物画家。 | [Validation] 佛兰芒画家。,Abraham Brueghel,Flemish Baroque painter (1631-1690),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Abraham Hume,,Q17198983,Person,[Reconstruction] 收藏家/鉴赏家。,Abraham Hume,English clergyman and cricketer (1819-1888),"High Confidence - Score: 130.0 (Sim: 1.00, Cat: Match)"
Abraham Nicolas Amelot de la Houssaye,Q2667383,Q2667383,Person,[Reconstruction] 名字倒装复原。 | [Validation] 历史学家。,Abraham Nicolas Amelot de la Houssaye,French historian (1634-1706),"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Abruzzo,Q1284,Q37275433,Place,[Validation] 意大利大区。,Abruzzo,family name,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Academy of Fine Arts of Parma,,Q3604017,Organization,[Category Fix] 帕尔马美术学院。,Academy of Fine Arts of Parma,Academy of Fine Arts in Italy,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Académie Française,,Q161806,Organization,"[OCR Fix] 修正 ""?"" 为 ""ç""。法兰西学术院。",Académie Française,pre-eminent council for the French language,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Accademia Albrizziana,,,Organization,"[OCR Fix] 修正 ""Accbremia"" 为 ""Accademia""。同 Row 23。 | [Validation] 威尼斯文学学会 (Albrizzi)。",,,No results found
Accademia Carrara,Q338367,Q338367,Place/Organization,[Validation] 贝加莫的美术馆/学院。,Accademia Carrara,Italian art gallery and academy of fine arts in Bergamo,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Accademia degli Umoristi,,Q3603986,Group,[Validation] 罗马文学学会。 | 罗马文学学院。,Accademia degli Umoristi,Italian academy founded in 1603,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Accademia dei Cacadubbi,,,Organization,[Validation] 戏谑性学会 (Humorous Academy)。,,,No results found
Accademia dei Concordi (Rovigo),,Q3603991,Organization,[Validation] 罗维戈的学会。,Accademia dei Concordi di Rovigo,museum in Italy,Advanced Match via 'Accademia dei Concordi': Score 101.5 (Match)
Accademia dei Lincei,,Q3639657,Organization,[Category Fix] 原文误标为 Place。 | [Validation] 猞猁之眼国家科学院。,Biblioteca dell'Accademia Nazionale dei Lincei e Corsiniana,conservation library in Italy,"Low Confidence - Score: 50.6 (Sim: 0.51, Cat: Neutral)"
Accademia dell'Arcadia,,Q9138745,Group,[Category Fix] 阿卡迪亚学院。 | [Disambiguation] 阿卡迪亚学院。,Accademia dell'Arcadia,orchestra based in Poland,"High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Accademia delle Arti del Disegno,,Q1760178,Organization,[Disambiguation] 佛罗伦萨迪亚诺学院。,Accademia delle Arti del Disegno,"academy of artists in Florence, Italy","High Confidence - Score: 110.0 (Sim: 1.00, Cat: Neutral)"
Accademia di Belle Arti di Brera,,Q338472,Organization,[Validation] 布雷拉美术学院。,Brera Academy,"art academy in Milan, Italy (1776–)","Low Confidence - Score: 26.7 (Sim: 0.27, Cat: Neutral)"
