Refined_Formal_Name,QID,Refined_Category,Status/Notes
A Dance to the Music of Time (Poussin),,Work,[Validation] 普桑画作。
A Donor Presented to the Virgin,Q123597533,Work,[Validation] 画作主题/标题。
A Scene from the Aeneid,,Work,[Category Fix] 埃涅阿斯纪的故事场景（fable/story）。
A Seaport,Q52242065,Work,[Validation] 画作标题（可能是克劳德·洛兰）。
A storm at sea,Q102961376,Work,[Validation] 画作标题。
A. E. Popham,,Person,[Validation] 大英博物馆策展人。
A. N. L. Munby,,Person,[Validation] 图书馆学家。
A. S. Turberville,,Person,[Validation] 历史学家。
A.M. Zanetti the Elder with Marchese Gerini,A2,Work,[Category Fix] 这是一个讽刺画作品标题 (Caricature)，非单纯人名列表。
Abate Scarselli,,Person,可能是 Flaminio Scarselli (文学家)。
Abbey of Monte Cassino,Q334051,Place,[Validation] 地点（修道院）。
Abbey of Santa Giustina,Q219502,Place,[Validation] 地点（帕多瓦修道院）。
Abbé Clément,,Person,[Validation] 18世纪法国作家 (Denis Xavier Clément 或 chanoine de Saint-Louis du Louvre)。
Abbé Richard,,Person,"[OCR Fix] ""Abb谷"" -> ""Abbé""。Jérôme Richard，法国旅行作家 (Description de l'Italie)。"
Abel Desjardins,Q2821500,Person,[Validation] 雕塑家/灰泥艺术家。
"Abel-François Poisson, marquis de Marigny",,Person,"[OCR Fix] ""Vandi豕res"" -> ""Vandières""。Marigny侯爵。 | [OCR Fix] 修正 ""?"" 为 ""ç""。庞巴杜夫人的弟弟，艺术总监。 | 蓬帕杜夫人的弟弟，法国皇家建筑总监。"
Abigail,Q4416778,Person,[Validation] 圣经人物。
Abigail giving Presents to David,A3,Work,[Validation] 画作主题。
Abraham Brueghel,Q1824525,Person,[Disambiguation] 佛兰芒静物画家。 | [Validation] 佛兰芒画家。
Abraham Hume,,Person,[Reconstruction] 收藏家/鉴赏家。
Abraham Nicolas Amelot de la Houssaye,Q2667383,Person,[Reconstruction] 名字倒装复原。 | [Validation] 历史学家。
Abruzzo,Q1284,Place,[Validation] 意大利大区。
Academy of Fine Arts of Parma,,Organization,[Category Fix] 帕尔马美术学院。
Académie Française,,Organization,"[OCR Fix] 修正 ""?"" 为 ""ç""。法兰西学术院。"
Accademia Albrizziana,G32,Organization,"[OCR Fix] 修正 ""Accbremia"" 为 ""Accademia""。同 Row 23。 | [Validation] 威尼斯文学学会 (Albrizzi)。"
Accademia Carrara,Q338367,Place/Organization,[Validation] 贝加莫的美术馆/学院。
Accademia degli Umoristi,,Group,[Validation] 罗马文学学会。 | 罗马文学学院。
Accademia dei Cacadubbi,G33,Organization,[Validation] 戏谑性学会 (Humorous Academy)。
Accademia dei Concordi (Rovigo),,Organization,[Validation] 罗维戈的学会。
Accademia dei Lincei,,Organization,[Category Fix] 原文误标为 Place。 | [Validation] 猞猁之眼国家科学院。
Accademia dell'Arcadia,,Group,[Category Fix] 阿卡迪亚学院。 | [Disambiguation] 阿卡迪亚学院。
