fact_id	subject_uri	predicate_uri	object_uri	source_triple	confidence
F00000	wd:Q122237900	wdt:P50	wd:Q103896474	T_A_100_89	0.892
F00001	wd:Q223744	wdt:P460	wd:Q122227996	T_A_100_90	0.809
F00002	wd:Q85342160	wdt:P50	wd:Q103896474	T_A_101_91	0.987
F00003	wd:Q27598796	wdt:P39	wd:Q108000059	T_A_101_92	0.908
F00004	wd:Q103896474	wdt:P937	wd:Q21	T_A_104_93	0.946
F00007	wd:Q49172839	wdt:P39	wd:Q15472169	T_A_112_95	0.695
F00010	wd:Q103890780	wdt:P4969	wd:Q48922	T_A_118_98	0.96
F00012	wd:Q19029211	wdt:P39	wd:Q42973	T_A_11_12	0.919
F00013	wd:Q19029211	wdt:P551	wd:Q38	T_A_11_13	0.932
F00015	wd:Q56654304	wdt:P39	wd:Q42973	T_A_12_14	0.96
F00021	wd:Q15147581	wdt:P551	wd:Q220	T_A_18_20	0.819
F00024	wd:Q773853	wdt:P131	wd:Q38	T_A_1_2	0.987
F00026	wd:Q103892759	wdt:P39	wd:Q483501	T_A_21_23	0.96
F00028	wd:Q129967	wdt:P39	wd:Q15840785	T_A_22_25	0.96
F00034	wd:Q339094	wdt:P110	wd:Q110411843	T_A_27_31	0.707
F00037	wd:Q3603986	wdt:P131	wd:Q220	T_A_2_3	0.987
F00040	wd:Q352391	wdt:P39	wd:Q890269	T_A_32_36	0.807
F00041	wd:Q47551	wdt:P50	wd:Q18600133	T_A_33_37	0.987
F00042	wd:Q47551	wdt:P50	wd:Q18600136	T_A_33_38	0.934
F00044	wd:Q103894305	wdt:P39	wd:Q9286	T_A_36_40	0.96
F00045	wd:Q103894305	wdt:P50	wd:Q21074086	T_A_37_41	0.987
F00047	wd:Q103894305	wdt:P50	wd:Q10448	T_A_39_43	0.987
F00048	wd:Q338432	wdt:P131	wd:Q220	T_A_3_4	0.956
F00050	wd:Q103894305	wdt:P287	wd:Q774654	T_A_41_45	0.98
F00052	wd:Q103913443	wdt:P8324	wd:Q103889666	T_A_44_47	0.96
F00059	wd:Q1760178	wdt:P131	wd:Q950780	T_A_4_5	0.955
F00060	wd:Q103889666	wdt:P737	wd:Q103951325	T_A_50_54	0.987
F00070	wd:Q103889666	wdt:P88	wd:Q110891453	T_A_60_63	0.913
F00072	wd:Q103969850	wdt:P50	wd:Q110891453	T_A_60_65	0.844
F00076	wd:Q103889666	wdt:P551	wd:Q64	T_A_67_69	0.974
F00077	wd:Q64	wdt:P131	wd:Q183	T_A_67_70	0.987
F00087	wd:Q328079	wdt:P1279	wd:Q53438	T_A_75_79	0.941
F00088	wd:Q328079	wdt:P195	wd:Q4890	T_A_75_80	0.974
F00089	wd:Q1731	wdt:P131	wd:Q183	T_A_75_81	0.987
F00090	wd:Q338523	wdt:P131	wd:Q220	T_A_7_8	0.976
F00091	wd:Q103889666	wdt:P764	wd:Q773853	T_A_84_82	0.96
F00092	wd:Q103894742	wdt:P39	wd:Q483501	T_A_86_83	0.96
F00098	wd:Q103896474	wdt:P39	wd:Q483501	T_A_96_88	0.96
